"
Продукт ","
Бел, г ","
Жир, г ","
Угл, г ","
Кал, ккал "
Бифацил ,2.9 ,2.5 ,7.9 ,66
Бифитат ,2.8 ,3.4 ,4.7 ,61
Варенец 2.5% ,2.8 ,2.5 ,4.0 ,50
Варенец Останкинский 2.5% ,2.8 ,2.5 ,4.2 ,51
Даниссимо Белый персик - белый шоколад ,4.6 ,6.1 ,18.3 ,147
Даниссимо Вишня ,4.7 ,5.4 ,17.5 ,138
Даниссимо Груша-ваниль ,4.7 ,5.4 ,17.1 ,136
Даниссимо Клубника ,4.7 ,5.4 ,17.1 ,136
Даниссимо Крем-брюле ,4.6 ,4.6 ,18.8 ,135
Даниссимо Лесные ягоды ,4.7 ,5.4 ,17.2 ,136
Даниссимо Малина-земляника ,4.7 ,5.4 ,16.0 ,131
Даниссимо Пахлава ,4.7 ,5.1 ,15.8 ,128
Actimel Вишня ,2.9 ,1.5 ,11.5 ,74
Actimel Гранат ,2.7 ,1.5 ,11.5 ,73
Actimel Земляника и шиповник ,2.7 ,1.5 ,11.5 ,73
Actimel Клубника ,2.7 ,1.5 ,11.5 ,72
Actimel Малина и клюква ,2.7 ,1.5 ,11.5 ,72
Actimel Мультифрукт ,2.7 ,1.5 ,12.0 ,75
Actimel Натуральный ,2.8 ,1.6 ,10.5 ,71
Actimel Черника и ежевика ,2.9 ,1.5 ,11.5 ,74
Exponenta High-Pro Черника-Алоэ ,12.0 ,0.0 ,2.5 ,60
Fruttis Сливочное лакомство Клубника-Земляника ,2.2 ,5.0 ,17.0 ,122
Neo Имунеле Natural ,1.8 ,0.9 ,11.8 ,63
Neo Имунеле Гранат-Вишня ,2.5 ,1.2 ,12.4 ,70
Neo Имунеле Клюква-Малина ,2.5 ,1.2 ,12.6 ,71
Neo Имунеле Лесные ягоды ,2.5 ,1.2 ,13.1 ,73
Айран (тан) газированный ,1.1 ,1.5 ,1.4 ,24
Айран (тан) из козьего молока ,1.1 ,1.5 ,1.4 ,24
Айран (тан) негазированный ,1.1 ,1.5 ,1.4 ,24
Айран (тан) негазированный нежирный ,1.1 ,0.2 ,1.4 ,12
Айран (тан) с укропом и огурцом ,1.1 ,1.0 ,1.4 ,19
Айран (тан) сильногазированный ,1.1 ,1.0 ,1.4 ,19
Активиа Быстрый завтрак Клубника ,4.3 ,2.8 ,20.9 ,127
Активиа Быстрый завтрак Натуральный ,4.8 ,3.1 ,14.4 ,107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша ,3.6 ,3.1 ,16.7 ,110
Активиа Кефирная 1% ,2.9 ,1.0  ,4.5 ,39
Активиа Кефирная 3% ,2.9 ,3.0 ,3.6 ,53
Активиа Момент удовольствия Вишня ,4.3 ,2.7 ,13.7 ,97
Активиа Момент удовольствия Земляника ,4.3 ,2.7  ,12.9 ,97
Активиа Питьевая Ананас ,2.8 ,2.0 ,12.2 ,77
Активиа Питьевая Бифидойогурт Классический 1.5% ,3.4 ,1.5 ,4.4 ,45
Активиа Питьевая Вишня и чёрная смородина ,2.6 ,2.0 ,12.8 ,81
Активиа Питьевая Злаки ,2.8 ,2.2 ,12.4 ,81
Активиа Питьевая Клубника и земляника ,2.8 ,2.2 ,12.4 ,81
Активиа Питьевая Малина и злаки ,2.8 ,2.1 ,11.0 ,74
Активиа Питьевая Натуральная ,3.2 ,2.4 ,4.5 ,52
Активиа Питьевая Тыква банан и корица ,2.9 ,2.1 ,10.9 ,74
Активиа Питьевая Чернослив ,2.8 ,2.0 ,12.8 ,80
Активиа Питьевая Яблоко и злаки ,2.8 ,2.2 ,13.0 ,83
Активиа Семейная Клубника ,3.9 ,3.2 ,13.6 ,98
Активиа Семейная Персик ,3.9 ,3.2 ,13.6 ,98
Активиа Творожная Клубника ,5.0 ,4.5 ,15.5 ,123
Активиа Творожная Малина ,4.2 ,4.5 ,11.4 ,102
Активиа Творожная Мюсли ,5.0 ,4.5 ,15.5 ,123
Активиа Творожная Мюсли и манго ,4.8 ,4.5 ,14.7 ,119
Активиа Творожная Натуральная ,5.9 ,4.5 ,3.7 ,79
Активиа Творожная Отруби и злаки ,4.9 ,4.3 ,13.7 ,113
Активиа Творожная Чернослив ,4.7 ,4.2 ,14.4 ,114
Активиа Фреш Арбуз ,2.8 ,1.6 ,12.3 ,74
Активиа Фреш Вишня ,2.8 ,1.6 ,11.0 ,70
Активиа Фреш Гранат и Малина ,2.8 ,1.6 ,11.0 ,70
Активиа Фреш Манго ,2.8 ,1.6 ,12.0 ,73
Активиа Фреш Персик ,2.8 ,1.6 ,11.0 ,70
Актуаль на сыворотке вкус арбуза ,0.5 ,0.1 ,8.6 ,37
Ацидофилин 0.1% ,3.0 ,0.1 ,3.9 ,31
Ацидофилин 1% ,3.0 ,1.0 ,4.0 ,40
Ацидофилин 3.2% ,2.8 ,3.2 ,3.8 ,57
Ацидофилин 3.2% сладкий ,2.8 ,3.2 ,8.6 ,77
Ацидофилин Останкинский 2.5% ,2.8 ,2.5 ,4.2 ,51
Биойогурт Активиа Виноград Манго Папайя Семена Чиа ,4.1 ,2.9 ,10.8 ,86
Биойогурт Активиа Клубника Яблоко Питахайя ,4.1 ,2.9 ,10.9 ,86
Биойогурт Останкинский 2.5% ,3.2 ,2.5 ,8.9 ,71
Биойогурт Слобода питьевой с грушей и злаками 2% ,2.8 ,2.0 ,11.0 ,73
Биойогурт Слобода с гранолой и изюмом 5% ,3.6 ,5.0 ,14.3 ,117
Биойогурт Слобода с клубникой 2.5% ,3.0 ,2.5 ,13.6 ,90
Биойогурт Слобода термостатный двухслойный с цветочным медом 2% ,3.5 ,2.0 ,10.5 ,75
Биойогурт Слобода термостатный двухслойный с черникой 2% ,3.6 ,2.0 ,15.8 ,93
Биокефир Вкуснотеево 1% ,3.1 ,1.0 ,5.5 ,43
Биокефир Останкинский 0.1% ,3.0 ,0.1 ,3.6 ,27
Биолакт Сегодня и Всегда продукт кисломолочный Абрикос-Манго ,2.8 ,2.5 ,11.0 ,78
Бифацил ,2.9 ,2.5 ,7.9 ,66
Бифитат ,2.8 ,3.4 ,4.7 ,61
Варенец 2.5% ,2.8 ,2.5 ,4.0 ,50
Варенец Останкинский 2.5% ,2.8 ,2.5 ,4.2 ,51
Даниссимо Белый персик - белый шоколад ,4.6 ,6.1 ,18.3 ,147
Даниссимо Вишня ,4.7 ,5.4 ,17.5 ,138
Даниссимо Груша-ваниль ,4.7 ,5.4 ,17.1 ,136
Даниссимо Клубника ,4.7 ,5.4 ,17.1 ,136
Даниссимо Крем-брюле ,4.6 ,4.6 ,18.8 ,135
Даниссимо Лесные ягоды ,4.7 ,5.4 ,17.2 ,136
Даниссимо Малина-земляника ,4.7 ,5.4 ,16.0 ,131
Даниссимо Пахлава ,4.7 ,5.1 ,15.8 ,128
Actimel Вишня ,2.9 ,1.5 ,11.5 ,74
Actimel Гранат ,2.7 ,1.5 ,11.5 ,73
Actimel Земляника и шиповник ,2.7 ,1.5 ,11.5 ,73
Actimel Клубника ,2.7 ,1.5 ,11.5 ,72
Actimel Малина и клюква ,2.7 ,1.5 ,11.5 ,72
Actimel Мультифрукт ,2.7 ,1.5 ,12.0 ,75
Actimel Натуральный ,2.8 ,1.6 ,10.5 ,71
Actimel Черника и ежевика ,2.9 ,1.5 ,11.5 ,74
Exponenta High-Pro Черника-Алоэ ,12.0 ,0.0 ,2.5 ,60
Fruttis Сливочное лакомство Клубника-Земляника ,2.2 ,5.0 ,17.0 ,122
Neo Имунеле Natural ,1.8 ,0.9 ,11.8 ,63
Neo Имунеле Гранат-Вишня ,2.5 ,1.2 ,12.4 ,70
Neo Имунеле Клюква-Малина ,2.5 ,1.2 ,12.6 ,71
Neo Имунеле Лесные ягоды ,2.5 ,1.2 ,13.1 ,73
Айран (тан) газированный ,1.1 ,1.5 ,1.4 ,24
Айран (тан) из козьего молока ,1.1 ,1.5 ,1.4 ,24
Айран (тан) негазированный ,1.1 ,1.5 ,1.4 ,24
Айран (тан) негазированный нежирный ,1.1 ,0.2 ,1.4 ,12
Айран (тан) с укропом и огурцом ,1.1 ,1.0 ,1.4 ,19
Айран (тан) сильногазированный ,1.1 ,1.0 ,1.4 ,19
Активиа Быстрый завтрак Клубника ,4.3 ,2.8 ,20.9 ,127
Активиа Быстрый завтрак Натуральный ,4.8 ,3.1 ,14.4 ,107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша ,3.6 ,3.1 ,16.7 ,110
Активиа Кефирная 1% ,2.9 ,1.0  ,4.5 ,39
Активиа Кефирная 3% ,2.9 ,3.0 ,3.6 ,53
Активиа Момент удовольствия Вишня ,4.3 ,2.7 ,13.7 ,97
Активиа Момент удовольствия Земляника ,4.3 ,2.7  ,12.9 ,97
Активиа Питьевая Ананас ,2.8 ,2.0 ,12.2 ,77
Активиа Питьевая Бифидойогурт Классический 1.5% ,3.4 ,1.5 ,4.4 ,45
Активиа Питьевая Вишня и чёрная смородина ,2.6 ,2.0 ,12.8 ,81
Активиа Питьевая Злаки ,2.8 ,2.2 ,12.4 ,81
Активиа Питьевая Клубника и земляника ,2.8 ,2.2 ,12.4 ,81
Активиа Питьевая Малина и злаки ,2.8 ,2.1 ,11.0 ,74
Активиа Питьевая Натуральная ,3.2 ,2.4 ,4.5 ,52
Активиа Питьевая Тыква банан и корица ,2.9 ,2.1 ,10.9 ,74
Активиа Питьевая Чернослив ,2.8 ,2.0 ,12.8 ,80
Активиа Питьевая Яблоко и злаки ,2.8 ,2.2 ,13.0 ,83
Активиа Семейная Клубника ,3.9 ,3.2 ,13.6 ,98
Активиа Семейная Персик ,3.9 ,3.2 ,13.6 ,98
Активиа Творожная Клубника ,5.0 ,4.5 ,15.5 ,123
Активиа Творожная Малина ,4.2 ,4.5 ,11.4 ,102
Активиа Творожная Мюсли ,5.0 ,4.5 ,15.5 ,123
Активиа Творожная Мюсли и манго ,4.8 ,4.5 ,14.7 ,119
Активиа Творожная Натуральная ,5.9 ,4.5 ,3.7 ,79
Активиа Творожная Отруби и злаки ,4.9 ,4.3 ,13.7 ,113
Активиа Творожная Чернослив ,4.7 ,4.2 ,14.4 ,114
Активиа Фреш Арбуз ,2.8 ,1.6 ,12.3 ,74
Активиа Фреш Вишня ,2.8 ,1.6 ,11.0 ,70
Активиа Фреш Гранат и Малина ,2.8 ,1.6 ,11.0 ,70
Активиа Фреш Манго ,2.8 ,1.6 ,12.0 ,73
Активиа Фреш Персик ,2.8 ,1.6 ,11.0 ,70
Актуаль на сыворотке вкус арбуза ,0.5 ,0.1 ,8.6 ,37
Ацидофилин 0.1% ,3.0 ,0.1 ,3.9 ,31
Ацидофилин 1% ,3.0 ,1.0 ,4.0 ,40
Ацидофилин 3.2% ,2.8 ,3.2 ,3.8 ,57
Ацидофилин 3.2% сладкий ,2.8 ,3.2 ,8.6 ,77
Ацидофилин Останкинский 2.5% ,2.8 ,2.5 ,4.2 ,51
Биойогурт Активиа Виноград Манго Папайя Семена Чиа ,4.1 ,2.9 ,10.8 ,86
Биойогурт Активиа Клубника Яблоко Питахайя ,4.1 ,2.9 ,10.9 ,86
Биойогурт Останкинский 2.5% ,3.2 ,2.5 ,8.9 ,71
Биойогурт Слобода питьевой с грушей и злаками 2% ,2.8 ,2.0 ,11.0 ,73
Биойогурт Слобода с гранолой и изюмом 5% ,3.6 ,5.0 ,14.3 ,117
Биойогурт Слобода с клубникой 2.5% ,3.0 ,2.5 ,13.6 ,90
Биойогурт Слобода термостатный двухслойный с цветочным медом 2% ,3.5 ,2.0 ,10.5 ,75
Биойогурт Слобода термостатный двухслойный с черникой 2% ,3.6 ,2.0 ,15.8 ,93
Биокефир Вкуснотеево 1% ,3.1 ,1.0 ,5.5 ,43
Биокефир Останкинский 0.1% ,3.0 ,0.1 ,3.6 ,27
Биолакт Сегодня и Всегда продукт кисломолочный Абрикос-Манго ,2.8 ,2.5 ,11.0 ,78
Бифацил ,2.9 ,2.5 ,7.9 ,66
Бифитат ,2.8 ,3.4 ,4.7 ,61
Варенец 2.5% ,2.8 ,2.5 ,4.0 ,50
Варенец Останкинский 2.5% ,2.8 ,2.5 ,4.2 ,51
Даниссимо Белый персик - белый шоколад ,4.6 ,6.1 ,18.3 ,147
Даниссимо Вишня ,4.7 ,5.4 ,17.5 ,138
Даниссимо Груша-ваниль ,4.7 ,5.4 ,17.1 ,136
Даниссимо Клубника ,4.7 ,5.4 ,17.1 ,136
Даниссимо Крем-брюле ,4.6 ,4.6 ,18.8 ,135
Даниссимо Лесные ягоды ,4.7 ,5.4 ,17.2 ,136
Даниссимо Малина-земляника ,4.7 ,5.4 ,16.0 ,131
Даниссимо Пахлава ,4.7 ,5.1 ,15.8 ,128
Actimel Вишня ,2.9 ,1.5 ,11.5 ,74
Actimel Гранат ,2.7 ,1.5 ,11.5 ,73
Actimel Земляника и шиповник ,2.7 ,1.5 ,11.5 ,73
Actimel Клубника ,2.7 ,1.5 ,11.5 ,72
Actimel Малина и клюква ,2.7 ,1.5 ,11.5 ,72
Actimel Мультифрукт ,2.7 ,1.5 ,12.0 ,75
Actimel Натуральный ,2.8 ,1.6 ,10.5 ,71
Actimel Черника и ежевика ,2.9 ,1.5 ,11.5 ,74
Exponenta High-Pro Черника-Алоэ ,12.0 ,0.0 ,2.5 ,60
Fruttis Сливочное лакомство Клубника-Земляника ,2.2 ,5.0 ,17.0 ,122
Neo Имунеле Natural ,1.8 ,0.9 ,11.8 ,63
Neo Имунеле Гранат-Вишня ,2.5 ,1.2 ,12.4 ,70
Neo Имунеле Клюква-Малина ,2.5 ,1.2 ,12.6 ,71
Neo Имунеле Лесные ягоды ,2.5 ,1.2 ,13.1 ,73
Айран (тан) газированный ,1.1 ,1.5 ,1.4 ,24
Айран (тан) из козьего молока ,1.1 ,1.5 ,1.4 ,24
Айран (тан) негазированный ,1.1 ,1.5 ,1.4 ,24
Айран (тан) негазированный нежирный ,1.1 ,0.2 ,1.4 ,12
Айран (тан) с укропом и огурцом ,1.1 ,1.0 ,1.4 ,19
Айран (тан) сильногазированный ,1.1 ,1.0 ,1.4 ,19
Активиа Быстрый завтрак Клубника ,4.3 ,2.8 ,20.9 ,127
Активиа Быстрый завтрак Натуральный ,4.8 ,3.1 ,14.4 ,107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша ,3.6 ,3.1 ,16.7 ,110
Активиа Кефирная 1% ,2.9 ,1.0  ,4.5 ,39
Активиа Кефирная 3% ,2.9 ,3.0 ,3.6 ,53
Активиа Момент удовольствия Вишня ,4.3 ,2.7 ,13.7 ,97
Активиа Момент удовольствия Земляника ,4.3 ,2.7  ,12.9 ,97
Активиа Питьевая Ананас ,2.8 ,2.0 ,12.2 ,77
Активиа Питьевая Бифидойогурт Классический 1.5% ,3.4 ,1.5 ,4.4 ,45
Активиа Питьевая Вишня и чёрная смородина ,2.6 ,2.0 ,12.8 ,81
Активиа Питьевая Злаки ,2.8 ,2.2 ,12.4 ,81
Активиа Питьевая Клубника и земляника ,2.8 ,2.2 ,12.4 ,81
Активиа Питьевая Малина и злаки ,2.8 ,2.1 ,11.0 ,74
Активиа Питьевая Натуральная ,3.2 ,2.4 ,4.5 ,52
Активиа Питьевая Тыква банан и корица ,2.9 ,2.1 ,10.9 ,74
Активиа Питьевая Чернослив ,2.8 ,2.0 ,12.8 ,80
Активиа Питьевая Яблоко и злаки ,2.8 ,2.2 ,13.0 ,83
Активиа Семейная Клубника ,3.9 ,3.2 ,13.6 ,98
Активиа Семейная Персик ,3.9 ,3.2 ,13.6 ,98
Активиа Творожная Клубника ,5.0 ,4.5 ,15.5 ,123
Активиа Творожная Малина ,4.2 ,4.5 ,11.4 ,102
Активиа Творожная Мюсли ,5.0 ,4.5 ,15.5 ,123
Активиа Творожная Мюсли и манго ,4.8 ,4.5 ,14.7 ,119
Активиа Творожная Натуральная ,5.9 ,4.5 ,3.7 ,79
Активиа Творожная Отруби и злаки ,4.9 ,4.3 ,13.7 ,113
Активиа Творожная Чернослив ,4.7 ,4.2 ,14.4 ,114
Активиа Фреш Арбуз ,2.8 ,1.6 ,12.3 ,74
Активиа Фреш Вишня ,2.8 ,1.6 ,11.0 ,70
Активиа Фреш Гранат и Малина ,2.8 ,1.6 ,11.0 ,70
Активиа Фреш Манго ,2.8 ,1.6 ,12.0 ,73
Активиа Фреш Персик ,2.8 ,1.6 ,11.0 ,70
Актуаль на сыворотке вкус арбуза ,0.5 ,0.1 ,8.6 ,37
Ацидофилин 0.1% ,3.0 ,0.1 ,3.9 ,31
Ацидофилин 1% ,3.0 ,1.0 ,4.0 ,40
Ацидофилин 3.2% ,2.8 ,3.2 ,3.8 ,57
Ацидофилин 3.2% сладкий ,2.8 ,3.2 ,8.6 ,77
Ацидофилин Останкинский 2.5% ,2.8 ,2.5 ,4.2 ,51
Биойогурт Активиа Виноград Манго Папайя Семена Чиа ,4.1 ,2.9 ,10.8 ,86
Биойогурт Активиа Клубника Яблоко Питахайя ,4.1 ,2.9 ,10.9 ,86
Биойогурт Останкинский 2.5% ,3.2 ,2.5 ,8.9 ,71
Биойогурт Слобода питьевой с грушей и злаками 2% ,2.8 ,2.0 ,11.0 ,73
Биойогурт Слобода с гранолой и изюмом 5% ,3.6 ,5.0 ,14.3 ,117
Биойогурт Слобода с клубникой 2.5% ,3.0 ,2.5 ,13.6 ,90
Биойогурт Слобода термостатный двухслойный с цветочным медом 2% ,3.5 ,2.0 ,10.5 ,75
Биойогурт Слобода термостатный двухслойный с черникой 2% ,3.6 ,2.0 ,15.8 ,93
Биокефир Вкуснотеево 1% ,3.1 ,1.0 ,5.5 ,43
Биокефир Останкинский 0.1% ,3.0 ,0.1 ,3.6 ,27
Биолакт Сегодня и Всегда продукт кисломолочный Абрикос-Манго ,2.8 ,2.5 ,11.0 ,78
Бифацил ,2.9 ,2.5 ,7.9 ,66
Бифитат ,2.8 ,3.4 ,4.7 ,61
Варенец 2.5% ,2.8 ,2.5 ,4.0 ,50
Варенец Останкинский 2.5% ,2.8 ,2.5 ,4.2 ,51
Даниссимо Белый персик - белый шоколад ,4.6 ,6.1 ,18.3 ,147
Даниссимо Вишня ,4.7 ,5.4 ,17.5 ,138
Даниссимо Груша-ваниль ,4.7 ,5.4 ,17.1 ,136
Даниссимо Клубника ,4.7 ,5.4 ,17.1 ,136
Даниссимо Крем-брюле ,4.6 ,4.6 ,18.8 ,135
Даниссимо Лесные ягоды ,4.7 ,5.4 ,17.2 ,136
Даниссимо Малина-земляника ,4.7 ,5.4 ,16.0 ,131
Даниссимо Пахлава ,4.7 ,5.1 ,15.8 ,128
Actimel Вишня ,2.9 ,1.5 ,11.5 ,74
Actimel Гранат ,2.7 ,1.5 ,11.5 ,73
Actimel Земляника и шиповник ,2.7 ,1.5 ,11.5 ,73
Actimel Клубника ,2.7 ,1.5 ,11.5 ,72
Actimel Малина и клюква ,2.7 ,1.5 ,11.5 ,72
Actimel Мультифрукт ,2.7 ,1.5 ,12.0 ,75
Actimel Натуральный ,2.8 ,1.6 ,10.5 ,71
Actimel Черника и ежевика ,2.9 ,1.5 ,11.5 ,74
Exponenta High-Pro Черника-Алоэ ,12.0 ,0.0 ,2.5 ,60
Fruttis Сливочное лакомство Клубника-Земляника ,2.2 ,5.0 ,17.0 ,122
Neo Имунеле Natural ,1.8 ,0.9 ,11.8 ,63
Neo Имунеле Гранат-Вишня ,2.5 ,1.2 ,12.4 ,70
Neo Имунеле Клюква-Малина ,2.5 ,1.2 ,12.6 ,71
Neo Имунеле Лесные ягоды ,2.5 ,1.2 ,13.1 ,73
Айран (тан) газированный ,1.1 ,1.5 ,1.4 ,24
Айран (тан) из козьего молока ,1.1 ,1.5 ,1.4 ,24
Айран (тан) негазированный ,1.1 ,1.5 ,1.4 ,24
Айран (тан) негазированный нежирный ,1.1 ,0.2 ,1.4 ,12
Айран (тан) с укропом и огурцом ,1.1 ,1.0 ,1.4 ,19
Айран (тан) сильногазированный ,1.1 ,1.0 ,1.4 ,19
Активиа Быстрый завтрак Клубника ,4.3 ,2.8 ,20.9 ,127
Активиа Быстрый завтрак Натуральный ,4.8 ,3.1 ,14.4 ,107
Активиа Быстрый завтрак с овсянкой Яблоко-Груша ,3.6 ,3.1 ,16.7 ,110
Активиа Кефирная 1% ,2.9 ,1.0  ,4.5 ,39
Активиа Кефирная 3% ,2.9 ,3.0 ,3.6 ,53
Активиа Момент удовольствия Вишня ,4.3 ,2.7 ,13.7 ,97
Активиа Момент удовольствия Земляника ,4.3 ,2.7  ,12.9 ,97
Активиа Питьевая Ананас ,2.8 ,2.0 ,12.2 ,77
Активиа Питьевая Бифидойогурт Классический 1.5% ,3.4 ,1.5 ,4.4 ,45
Активиа Питьевая Вишня и чёрная смородина ,2.6 ,2.0 ,12.8 ,81
Активиа Питьевая Злаки ,2.8 ,2.2 ,12.4 ,81
Активиа Питьевая Клубника и земляника ,2.8 ,2.2 ,12.4 ,81
Активиа Питьевая Малина и злаки ,2.8 ,2.1 ,11.0 ,74
Активиа Питьевая Натуральная ,3.2 ,2.4 ,4.5 ,52
Активиа Питьевая Тыква банан и корица ,2.9 ,2.1 ,10.9 ,74
Активиа Питьевая Чернослив ,2.8 ,2.0 ,12.8 ,80
Активиа Питьевая Яблоко и злаки ,2.8 ,2.2 ,13.0 ,83
Активиа Семейная Клубника ,3.9 ,3.2 ,13.6 ,98
Активиа Семейная Персик ,3.9 ,3.2 ,13.6 ,98
Активиа Творожная Клубника ,5.0 ,4.5 ,15.5 ,123
Активиа Творожная Малина ,4.2 ,4.5 ,11.4 ,102
Активиа Творожная Мюсли ,5.0 ,4.5 ,15.5 ,123
Активиа Творожная Мюсли и манго ,4.8 ,4.5 ,14.7 ,119
Активиа Творожная Натуральная ,5.9 ,4.5 ,3.7 ,79
Активиа Творожная Отруби и злаки ,4.9 ,4.3 ,13.7 ,113
Активиа Творожная Чернослив ,4.7 ,4.2 ,14.4 ,114
Активиа Фреш Арбуз ,2.8 ,1.6 ,12.3 ,74
Активиа Фреш Вишня ,2.8 ,1.6 ,11.0 ,70
Активиа Фреш Гранат и Малина ,2.8 ,1.6 ,11.0 ,70
Активиа Фреш Манго ,2.8 ,1.6 ,12.0 ,73
Активиа Фреш Персик ,2.8 ,1.6 ,11.0 ,70
Актуаль на сыворотке вкус арбуза ,0.5 ,0.1 ,8.6 ,37
Ацидофилин 0.1% ,3.0 ,0.1 ,3.9 ,31
Ацидофилин 1% ,3.0 ,1.0 ,4.0 ,40
Ацидофилин 3.2% ,2.8 ,3.2 ,3.8 ,57
Ацидофилин 3.2% сладкий ,2.8 ,3.2 ,8.6 ,77
Ацидофилин Останкинский 2.5% ,2.8 ,2.5 ,4.2 ,51
Биойогурт Активиа Виноград Манго Папайя Семена Чиа ,4.1 ,2.9 ,10.8 ,86
Биойогурт Активиа Клубника Яблоко Питахайя ,4.1 ,2.9 ,10.9 ,86
Биойогурт Останкинский 2.5% ,3.2 ,2.5 ,8.9 ,71
Биойогурт Слобода питьевой с грушей и злаками 2% ,2.8 ,2.0 ,11.0 ,73
Биойогурт Слобода с гранолой и изюмом 5% ,3.6 ,5.0 ,14.3 ,117
Биойогурт Слобода с клубникой 2.5% ,3.0 ,2.5 ,13.6 ,90
Биойогурт Слобода термостатный двухслойный с цветочным медом 2% ,3.5 ,2.0 ,10.5 ,75
Биойогурт Слобода термостатный двухслойный с черникой 2% ,3.6 ,2.0 ,15.8 ,93
Биокефир Вкуснотеево 1% ,3.1 ,1.0 ,5.5 ,43
Биокефир Останкинский 0.1% ,3.0 ,0.1 ,3.6 ,27
Биолакт Сегодня и Всегда продукт кисломолочный Абрикос-Манго ,2.8 ,2.5 ,11.0 ,78
Бифацил ,2.9 ,2.5 ,7.9 ,66
Бифитат ,2.8 ,3.4 ,4.7 ,61
Варенец 2.5% ,2.8 ,2.5 ,4.0 ,50
Варенец Останкинский 2.5% ,2.8 ,2.5 ,4.2 ,51
Даниссимо Белый персик - белый шоколад ,4.6 ,6.1 ,18.3 ,147
Даниссимо Вишня ,4.7 ,5.4 ,17.5 ,138
Даниссимо Груша-ваниль ,4.7 ,5.4 ,17.1 ,136
Даниссимо Клубника ,4.7 ,5.4 ,17.1 ,136
Даниссимо Крем-брюле ,4.6 ,4.6 ,18.8 ,135
Даниссимо Лесные ягоды ,4.7 ,5.4 ,17.2 ,136
Даниссимо Малина-земляника ,4.7 ,5.4 ,16.0 ,131
Даниссимо Пахлава ,4.7 ,5.1 ,15.8 ,128
Аньолотти ,10.0 ,1.1 ,71.5 ,344
Баветте ,11.0 ,1.3 ,70.5 ,351
Блинчики Ермолино с печенью Мамины ,8.0 ,15.0 ,33.0 ,299
Блинчики Морозко сладкие с вишней ,3.5 ,4.5 ,32.0 ,180
Блинчики Морозко сладкие с творогом ,7.2 ,6.0 ,27.4 ,192
Блинчики Морозко сытные с мясом ,7.2 ,10.7 ,23.3 ,218
Блины ,6.1 ,12.3 ,26.0 ,233
Блины с ветчиной ,8.9 ,13.5 ,33.9 ,292
Блины с ветчиной и сыром ,14.3 ,20.2 ,35.3 ,382
Блины с грибами ,6.7 ,9.9 ,21.0 ,218
Блины с красной икрой ,12.7 ,15.2 ,33.7 ,324
Блины с маслом ,8.0 ,15.2 ,40.6 ,332
Блины с мёдом ,7.2 ,13.5 ,50.4 ,350
Блины с сёмгой ,11.2 ,14.9 ,33.8 ,313
Блины с сыром ,11.4 ,18.3 ,34.3 ,348
Блины со сгущеным молоком ,8.1 ,12.4 ,41.7 ,324
Блины со сметаной ,7.1 ,16.3 ,34.3 ,311
Бораки ,13.7 ,12.0 ,30.7 ,277
Букатини ,12.0 ,1.2 ,71.0 ,350
Вареники от Ильиной с вишней ,7.6 ,0.0 ,18.7 ,105
Вареники от Ильиной с картофелем ,4.4 ,3.7 ,18.5 ,125
Вареники от Ильиной с клубникой ,7.9 ,0.0 ,17.6 ,205
Вареники от Ильиной с творогом ,12.0 ,4.2 ,17.0 ,154
Вареники от Ильиной с черникой ,7.6 ,0.0 ,18.7 ,105
Вареники Хвалынские с картошкой и грибами ,6.0 ,3.6 ,32.0 ,184
Вермишель Lorenzo суповая ,10.0 ,1.0 ,72.0 ,340
Вермишель Makfa яичная длинная ,11.3 ,2.1 ,69.6 ,342
Вермишель Myllyn Paras ,10.4 ,1.1 ,71.5 ,344
Вермишель SanBonsai из чёрного риса ,7.3 ,0.9 ,78.0 ,349
Вермишель Бефстроганов соевая ,48.9 ,2.3 ,8.9 ,254
Вермишель Роллтон на домашнем бульоне с говядиной ,8.7 ,21.1 ,56.7 ,452
Вермишель Роллтон №21 ,10.4 ,1.1 ,71.5 ,344
Зити ,12.0 ,1.2 ,71.0 ,330
Капеллини ,13.0 ,1.5 ,70.2 ,346
Клецки ,5.0 ,4.8 ,25.8 ,160
Конкильони ,10.4 ,1.1 ,71.5 ,344
Лапша Buitoni La Rasagnole Феттучине ,13.5 ,4.0 ,69.0 ,370
Лапша Buitoni Тальятелле Гнезда ,13.5 ,4.0 ,69.0 ,370
Лапша Buitoni Феттучине Гнезда ,11.5 ,1.9 ,71.8 ,350
Лапша Midori рисовая крупная ,0.1 ,1.2 ,84.9 ,330
Лапша SanBonsai гречневая Soba ,10.0 ,0.5 ,62.0 ,294
Лапша SanBonsai пшеничная Udon ,12.0 ,1.0 ,65.0 ,358
Лапша SanBonsai яичная Egg ,9.0 ,15.0 ,68.0 ,440
Лапша SOBA гречневая ,14.7 ,0.9 ,70.5 ,348
Лапша ВкусВилл с куркумой ,10.4 ,1.1 ,71.5 ,334
Лапша домашняя ,12.0 ,3.7 ,60.1 ,322
Лапша Доширак со вкусом говядины ,7.0 ,18.0 ,63.0 ,440
Лапша Доширак со вкусом курицы ,9.0 ,19.0 ,62.0 ,460
Лапша Доширак со вкусом морепродуктов ,9.0 ,19.0 ,62.0 ,460
